genres,runtime
Drama|History|Musical,170164
Drama|History|Romance,164
Drama|History|Sport,151
Drama|History|Thriller,139
Drama|History|War,98160108255255
Drama|Horror,121
Drama|Horror|Musical,151
Drama|Horror|Mystery,10093127180110104
Drama|Horror|Romance,122124103128
Drama|Horror|Thriller,98
Drama|Music,153119150143146145110
Drama|Musical,125122135160172
Drama|Musical|Mystery,122
Drama|Musical|Romance,138151150129142165\N180130\N150145145150152185150174150160\N210160171127\N168\N
Drama|Music|Musical,158132159
Drama|Music|Romance,129
Drama|Mystery,106
Drama|Mystery|Romance,13683100120\N135
Drama|Mystery|Thriller,13411012010911213612413712113713597\N104128103128151
Drama|Romance,11011516617310111514013513511110890159131120155135165147151127129101\N149\N140148141104123136136176109152107\N200105109137\N140156124129132138131122150168155128193188\N143149144136160128137\N117136\N167181150\N17616914717418515114514814513514915835
Drama|Romance|Sport,14690
Drama|Romance|Thriller,120125138\N\N127144148100135121180115140\N160123120136157
Drama|Romance|War,161
Drama|Sci-Fi,110
Drama|Short,\N
Drama|Short|Thriller,13
Drama|Sport,120140160173167\N132120
Drama|Thriller,13714011791136126130134119129122140125125\N13514590129116130155150
Drama|War,136
Family,\N\N
Family|Fantasy,105
Family|Musical|Romance,123\N
Family|Romance,130\N
Family|Romance|Sport,153
Fantasy,1449990
Fantasy|Mystery|Romance,130
Horror,1191371339511912010791118108\N110
Horror|Mystery,106120124106143163
Horror|Mystery|Romance,128151138
Horror|Mystery|Thriller,8285143113
Horror|Romance,101103
Horror|Romance|Thriller,135
Horror|Sci-Fi|Thriller,125
Horror|Thriller,13496130106124109162129
Musical,127
Musical|Romance,12812889138160
Musical|Romance|Thriller,165
Music|Romance,120
Mystery|Romance|Thriller,145109115
Mystery|Thriller,120123125122127123119180
Romance,116156109130125132116120116111140169111120135148127155137\N146
Romance|Thriller,\N107\N123
Sci-Fi,116
Sport,126
Thriller,1231261379512511393114120115113\N123\N120111\N\N10213613895134
War,131
